stress,l1_angle,edge,ring,tsne,index
22.337309,35.342003,0.19732097,43.614437,0.16171409,10158
468.7206,120.93657,0.24541031,389.31116,0.28588235,10159
185.66061,76.15294,0.20493981,166.92067,0.30376637,10160
713.05945,121.70332,0.31591633,411.53662,0.33870724,10161
1356.1069,183.70215,0.3212701,794.1172,0.38262522,10162
208.70595,100.73287,0.24132146,196.33853,0.21638983,10163
155.88324,83.544914,0.15702802,160.17538,0.22585697,10164
334.71045,103.4846,0.20606956,230.95578,0.28434795,10165
31.753841,29.768272,0.15298527,48.550953,0.17168571,10166
184.55128,66.26311,0.21708137,188.72104,0.27406213,10167
45.512234,59.441574,0.13343403,70.917175,0.12653953,10168
1308.2036,163.33627,0.40953875,676.6847,0.42613268,10169
658.1908,122.7657,0.18525249,453.9629,0.47130805,10170
108.65025,48.671284,0.17274421,118.60787,0.26256716,10171
908.577,177.06744,0.22475502,566.03876,0.35290763,10172
569.4603,149.42096,0.24061081,466.7274,0.25695187,10173
1263.1592,183.62654,0.2932878,731.1416,0.36527985,10174
1172.8184,173.35861,0.27408567,709.06006,0.3422482,10175
401.27963,117.50001,0.21442586,307.2449,0.3099321,10176
15.527861,25.514032,0.05809345,31.735806,0.13822982,10177
314.29678,114.661896,0.2509379,262.66187,0.23213199,10178
706.198,144.15335,0.33896208,483.3106,0.2914527,10179
150.53577,70.89756,0.18211238,146.24814,0.22631907,10180
711.7657,127.15125,0.24710263,478.03223,0.3786079,10181
620.8826,119.67131,0.2663086,486.7862,0.36731642,10182
12.490829,37.23704,0.10018828,35.955452,0.07980765,10183
726.43506,142.4838,0.22108603,471.74054,0.31077832,10184
802.81683,130.99251,0.30461693,560.6705,0.33189732,10185
891.2249,148.6835,0.29420686,525.3342,0.37470514,10186
1012.28955,183.45334,0.29502082,688.0786,0.2981007,10187
62.03476,70.123886,0.15987496,93.08571,0.109864146,10188
1114.1201,166.96884,0.28462985,716.853,0.3848012,10189
98.87689,61.63392,0.1478829,123.81099,0.18034786,10190
122.919266,54.107517,0.1623595,134.76144,0.19030024,10191
